# GS BRAILLE TABLE
#
# Dec  Hex    Braille      Description
# ------------------------------------------------------------------------
 230   E6    (12---6--)    open braille bracket
 231   E7    (12-4-6--)    horizontal combination symbol indicator
 232   E8    (12--56--)    vertical stack symbol indicator
 233   E9    (12-456--)    superimposed combination symbol indicator
 234   EA    (12--56-8)    absolute value bar sign
 235   EB    (--3-5---)    superscript indicator
 236   EC    (--345---)    close braille bracket
 237   ED    (--34-6--)    underscript indicator
 238   EE    (--3-56--)    start math word indicator
 239   EF    (--3456--)    Number indicator (6 dot code)
 240   F0    (---4----)    Accent mark
 241   F1    (--3--6-8)    ellipses sign
 242   F2    (--34-6-8)    dagger, transpose sign
 243   F3    (--3-56-8)    left arrow sign
 244   F4    (--3456-8)    UK pound
 245   F5    (-234-6--)    two dimensional array indicator
 246   F6    (1----6--)    simple fraction line indicator
 247   F7    (-23-56--)    contraction indicator.
 248   F8    (-23456--)    close fraction indicator
 249   F9    (-234-6-8)    end of two dimensional array
 250   FA    (-23-56-8)    approximately equals sign, single tilde over single bar.
 251   FB    (1234-6--)    Large symbol indicator.
 252   FC    (123-56--)    open fraction indicator
 253   FD    (123456--)    quantity indicator
 254   FE    (------7-)    prime mark
 255   FF    (---4--7-)    script font symbol indicator

