30^"32,1"^"CTL/Set Instance ID Request/Instance"^50900^-1^0
33^"32,21"^"WDS/Start Network Interface Request/IP Address"^50021^-1
33^"32,22"^"WDS/Start Network Interface Request/Authentication"^50023^-1
33^"32,23"^"WDS/Start Network Interface Request/Username"^50024^-1
33^"32,24"^"WDS/Start Network Interface Request/Password"^50025^-1
33^"32,25"^"WDS/Start Network Interface Request/IP Family"^50097^-1
33^"32,48"^"WDS/Start Network Interface Request/Technology Preference"^50026^-1
33^"32,49"^"WDS/Start Network Interface Request/3GPP Profile Identifier"^50027^-1
33^"32,50"^"WDS/Start Network Interface Request/3GPP2 Profile Identifier"^50027^-1
33^"32,51"^"WDS/Start Network Interface Request/Autoconnect"^50045^-1
33^"32,52"^"WDS/Start Network Interface Request/Extended Technology Preference"^50095^-1
33^"32,53"^"WDS/Start Network Interface Request/Call Type"^50096^-1
33^"33,1"^"WDS/Stop Network Interface Request/Packet Data Handle"^50028^-1
33^"33,16"^"WDS/Stop Network Interface Request/Autoconnect"^50046^-1
33^"36,1"^"WDS/Get Packet Statistics Request/Packet Stats Mask"^50032^-1
33^"39,1"^"WDS/Create Profile Request/Profile Type"^50033^-1
33^"39,16"^"WDS/Create Profile Request/Profile Name"^50034^-1
33^"39,17"^"WDS/Create Profile Request/PDP Type"^50035^-1
33^"39,20"^"WDS/Create Profile Request/APN Name"^50022^-1
33^"39,21"^"WDS/Create Profile Request/Primary DNS"^50021^-1
33^"39,22"^"WDS/Create Profile Request/Secondary DNS"^50021^-1
33^"39,23"^"WDS/Create Profile Request/UMTS Requested QoS"^50036^-1
33^"39,24"^"WDS/Create Profile Request/UMTS Minimum QoS"^50036^-1
33^"39,25"^"WDS/Create Profile Request/GPRS Requested QoS"^50037^-1
33^"39,26"^"WDS/Create Profile Request/GPRS Minimum QoS"^50037^-1
33^"39,27"^"WDS/Create Profile Request/Username"^50024^-1
33^"39,28"^"WDS/Create Profile Request/Password"^50025^-1
33^"39,29"^"WDS/Create Profile Request/Authentication"^50023^-1
33^"39,30"^"WDS/Create Profile Request/IP Address"^50021^-1
33^"39,31"^"WDS/Create Profile Request/P-CSCF"^50099^-1
33^"40,1"^"WDS/Modify Profile Request/Profile Identifier"^50038^-1
33^"40,16"^"WDS/Modify Profile Request/Profile Name"^50034^-1
33^"40,17"^"WDS/Modify Profile Request/PDP Type"^50035^-1
33^"40,20"^"WDS/Modify Profile Request/APN Name"^50022^-1
33^"40,21"^"WDS/Modify Profile Request/Primary DNS"^50021^-1
33^"40,22"^"WDS/Modify Profile Request/Secondary DNS"^50021^-1
33^"40,23"^"WDS/Modify Profile Request/UMTS Requested QoS"^50036^-1
33^"40,24"^"WDS/Modify Profile Request/UMTS Minimum QoS"^50036^-1
33^"40,25"^"WDS/Modify Profile Request/GPRS Requested QoS"^50037^-1
33^"40,26"^"WDS/Modify Profile Request/GPRS Minimum QoS"^50037^-1
33^"40,27"^"WDS/Modify Profile Request/Username"^50024^-1
33^"40,28"^"WDS/Modify Profile Request/Password"^50025^-1
33^"40,29"^"WDS/Modify Profile Request/Authentication"^50023^-1
33^"40,30"^"WDS/Modify Profile Request/IP Address"^50021^-1
33^"40,31"^"WDS/Modify Profile Request/P-CSCF"^50099^-1
33^"40,32"^"WDS/Modify Profile Request/PDP Access Control Flag"^60086^-1
33^"40,33"^"WDS/Modify Profile Request/P-CSCF Address Using DHCP"^60087^-1
33^"40,34"^"WDS/Modify Profile Request/IM CN Flag"^60088^-1
33^"40,35"^"WDS/Modify Profile Request/Traffic Flow Template ID1 Parameters"^60018^-1
33^"40,36"^"WDS/Modify Profile Request/Traffic Flow Template ID2 Parameters"^60018^-1
33^"40,37"^"WDS/Modify Profile Request/PDP Context Number"^60020^-1
33^"40,38"^"WDS/Modify Profile Request/PDP Context Secondary Flag"^60021^-1
33^"40,39"^"WDS/Modify Profile Request/PDP Context Primary ID"^60022^-1
33^"40,40"^"WDS/Modify Profile Request/IPv6 Address"^60023^-1
33^"40,41"^"WDS/Modify Profile Request/Requested QoS"^60024^-1
33^"40,42"^"WDS/Modify Profile Request/Minimum QoS"^60024^-1
33^"40,43"^"WDS/Modify Profile Request/Primary IPv6"^60090^-1
33^"40,44"^"WDS/Modify Profile Request/Secondary IPv6"^60090^-1
33^"40,45"^"WDS/Modify Profile Request/Address Allocation Preference"^60028^-1
33^"40,46"^"WDS/Modify Profile Request/LTE QoS Parameters"^60029^-1
33^"40,144"^"WDS/Modify Profile Request/Negotiate DNS Server Prefrence"^60059^-1
33^"40,145"^"WDS/Modify Profile Request/PPP Session Close Timer DO"^60060^-1
33^"40,146"^"WDS/Modify Profile Request/PPP Session Close Timer 1X"^60061^-1
33^"40,147"^"WDS/Modify Profile Request/Allow Linger"^60062^-1
33^"40,148"^"WDS/Modify Profile Request/LCP ACK Timeout"^60063^-1
33^"40,149"^"WDS/Modify Profile Request/IPCP ACK Timeout"^60064^-1
33^"40,150"^"WDS/Modify Profile Request/Authentication Timeout"^60065^-1
33^"40,154"^"WDS/Modify Profile Request/Authentication Protocol"^60069^-1
33^"40,155"^"WDS/Modify Profile Request/User ID"^60070^-1
33^"40,156"^"WDS/Modify Profile Request/Authentication Password"^60071^-1
33^"40,157"^"WDS/Modify Profile Request/Data Rate"^60072^-1
33^"40,158"^"WDS/Modify Profile Request/Application Type"^60073^-1
33^"40,159"^"WDS/Modify Profile Request/Data Mode"^60074^-1
33^"40,160"^"WDS/Modify Profile Request/Application Priority"^60075^-1
33^"40,161"^"WDS/Modify Profile Request/APN String"^60076^-1
33^"40,162"^"WDS/Modify Profile Request/PDN Type"^60077^-1
33^"40,163"^"WDS/Modify Profile Request/P-CSCF Address Needed"^60078^-1
33^"40,164"^"WDS/Modify Profile Request/Primary IPv4 Address"^60079^-1
33^"40,165"^"WDS/Modify Profile Request/Secondary IPv4 Address"^60080^-1
33^"40,166"^"WDS/Modify Profile Request/Primary IPv6 Address"^60081^-1
33^"40,167"^"WDS/Modify Profile Request/Secondary IPv6 Address"^60082^-1
33^"41,1"^"WDS/Delete Profile Request/Profile Identifier"^50038^-1
33^"43,1"^"WDS/Get Profile Settings Request/Profile Identifier"^50038^-1
33^"44,1"^"WDS/Get Default Settings Request/Profile Type"^50033^-1
33^"45,16"^"WDS/Get Current Settings Request/Requested Settings"^50084^-1
33^"46,1"^"WDS/Set MIP Mode Request/Mobile IP Mode"^50044^-1
33^"56,1"^"WDS/Get Modem Info Request/Requested Status"^50051^-1
33^"56,16"^"WDS/Get Modem Info Request/Connection Status Indicator"^50052^-1
33^"56,17"^"WDS/Get Modem Info Request/Transfer Statistics Indicator"^50053^-1
33^"56,18"^"WDS/Get Modem Info Request/Dormancy Status Indicator"^50041^-1
33^"56,19"^"WDS/Get Modem Info Request/Data Bearer Technology Indicator"^50012^-1
33^"56,20"^"WDS/Get Modem Info Request/Channel Rate Indicator"^50010^-1
33^"61,1"^"WDS/Set Active MIP Profile Request/Index"^50056^-1
33^"62,1"^"WDS/Get MIP Profile Request/Index"^50027^-1
33^"63,1"^"WDS/Set MIP Profile Request/Index"^50056^-1
33^"63,16"^"WDS/Set MIP Profile Request/State"^50057^-1
33^"63,17"^"WDS/Set MIP Profile Request/Home Address"^50021^-1
33^"63,18"^"WDS/Set MIP Profile Request/Primary Home Agent Address"^50021^-1
33^"63,19"^"WDS/Set MIP Profile Request/Secondary Home Agent Address"^50021^-1
33^"63,20"^"WDS/Set MIP Profile Request/Reverse Tunneling"^50058^-1
33^"63,21"^"WDS/Set MIP Profile Request/NAI"^50059^-1
33^"63,22"^"WDS/Set MIP Profile Request/HA SPI"^50060^-1
33^"63,23"^"WDS/Set MIP Profile Requeste/AAA SPI"^50061^-1
33^"63,24"^"WDS/Set MIP Profile Request/MN-HA"^50062^-1
33^"63,25"^"WDS/Set MIP Profile Request/MN-AAA"^50063^-1
33^"65,1"^"WDS/Set MIP Parameters Request/SPC"^50070^-1
33^"65,16"^"WDS/Set MIP Parameters Request/Mobile IP Mode"^50044^-1
33^"65,17"^"WDS/Set MIP Parameters Request/Retry Attempt Limit"^50064^-1
33^"65,18"^"WDS/Set MIP Parameters Request/Retry Attempt Interval"^50065^-1
33^"65,19"^"WDS/Set MIP Parameters Request/Re-Registration Period"^50066^-1
33^"65,20"^"WDS/Set MIP Parameters Request/Re-Registration Only With Traffic"^50067^-1
33^"65,21"^"WDS/Set MIP Parameters Request/MN-HA Authenticator Calculator"^50068^-1
33^"65,22"^"WDS/Set MIP Parameters Request/MN-HA RFC 2002 BIS Authentication"^50069^-1
33^"69,16"^"WDS/Get Call List Request/List Type"^50073^-1
33^"70,1"^"WDS/Get Call Record Request/Record ID"^50077^-1
33^"81,1"^"WDS/Set Autoconnect Setting Request/Autoconnect"^50045^-1
33^"81,16"^"WDS/Set Autoconnect Setting Request/Roam"^60008^-1
33^"83,16"^"WDS/Set DNS Setting Request/Primary"^60009^-1
33^"83,17"^"WDS/Set DNS Setting Request/Secondary"^60009^-1
33^"83,18"^"WDS/Set DNS Setting Request/Primary IPv6 Address"^60084^-1
33^"83,19"^"WDS/Set DNS Setting Request/Secondary IPv6 Address"^60085^-1
34^"0,2"^"WDS/Reset Response/Result Code"^50000^-1
34^"1,2"^"WDS/Set Event Report Response/Result Code"^50000^-1
34^"2,2"^"WDS/Abort Response/Result Code"^50000^-1
34^"32,1"^"WDS/Start Network Interface Response/Packet Data Handle"^50028^-1
34^"32,2"^"WDS/Start Network Interface Response/Result Code"^50000^-1
34^"32,16"^"WDS/Start Network Interface Response/Call End Reason"^50043^-1
34^"32,17"^"WDS/Start Network Interface Response/Verbose Call End Reason"^50098^-1
34^"33,2"^"WDS/Stop Network Interface Response/Result Code"^50000^-1
34^"34,1"^"WDS/Get Packet Service Status Response/Status"^50029^-1
34^"34,2"^"WDS/Get Packet Service Status Response/Result Code"^50000^-1
34^"35,1"^"WDS/Get Channel Rates Response/Channel Rates"^50031^-1
34^"35,2"^"WDS/Get Channel Rates Response/Result Code"^50000^-1
34^"36,2"^"WDS/Get Packet Statistics Response/Result Code"^50000^-1
34^"36,16"^"WDS/Get Packet Statistics Response/TX Packet Successes"^50013^-1
34^"36,17"^"WDS/Get Packet Statistics Response/RX Packet Successes"^50014^-1
34^"36,18"^"WDS/Get Packet Statistics Response/TX Packet Errors"^50015^-1
34^"36,19"^"WDS/Get Packet Statistics Response/RX Packet Errors"^50016^-1
34^"36,20"^"WDS/Get Packet Statistics Response/TX Overflows"^50017^-1
34^"36,21"^"WDS/Get Packet Statistics Response/RX Overflows"^50018^-1
34^"36,25"^"WDS/Get Packet Statistics Response/TX Bytes"^50054^-1
34^"36,26"^"WDS/Get Packet Statistics Response/RX Bytes"^50055^-1
34^"36,27"^"WDS/Get Packet Statistics Response/Previous TX Bytes"^50079^-1
34^"36,28"^"WDS/Get Packet Statistics Response/Previous RX Bytes"^50080^-1
34^"37,2"^"WDS/Go Dormant Response/Result Code"^50000^-1
34^"38,2"^"WDS/Go Active Response/Result Code"^50000^-1
34^"39,1"^"WDS/Create Profile Response/Profile Identifier"^50038^-1
34^"39,2"^"WDS/Create Profile Response/Result Code"^50000^-1
34^"40,2"^"WDS/Modify Profile Response/Result Code"^50000^-1
34^"40,151"^"WDS/Modify Profile Request/LCP Config Retry Count"^60066^-1
34^"40,152"^"WDS/Modify Profile Request/IPCP Config Retry Count"^60067^-1
34^"40,153"^"WDS/Modify Profile Request/Authentication Retry"^60068^-1
34^"40,224"^"WDS/Modify Profile Request/Extended Error Code"^60083^-1
34^"41,2"^"WDS/Delete Profile Response/Result Code"^50000^-1
34^"42,1"^"WDS/Get Profile List Response/Profile List"^50039^-1
34^"42,2"^"WDS/Get Profile List Response/Result Code"^50000^-1
34^"43,2"^"WDS/Get Profile Settings Response/Result Code"^50000^-1
34^"43,16"^"WDS/Get Profile Settings Response/Profile Name"^50034^-1
34^"43,17"^"WDS/Get Profile Settings Response/PDP Type"^50035^-1
34^"43,20"^"WDS/Get Profile Settings Response/APN Name"^50022^-1
34^"43,21"^"WDS/Get Profile Settings Response/Primary DNS"^50021^-1
34^"43,22"^"WDS/Get Profile Settings Response/Secondary DNS"^50021^-1
34^"43,23"^"WDS/Get Profile Settings Response/UMTS Requested QoS"^50036^-1
34^"43,24"^"WDS/Get Profile Settings Response/UMTS Minimum QoS"^50036^-1
34^"43,25"^"WDS/Get Profile Settings Response/GPRS Requested QoS"^50037^-1
34^"43,26"^"WDS/Get Profile Settings Response/GPRS Minimum QoS"^50037^-1
34^"43,27"^"WDS/Get Profile Settings Response/Username"^50024^-1
34^"43,29"^"WDS/Get Profile Settings Response/Authentication"^50023^-1
34^"43,30"^"WDS/Get Profile Settings Response/IP Address"^50021^-1
34^"43,31"^"WDS/Get Profile Settings Response/P-CSCF"^50099^-1
34^"44,2"^"WDS/Get Default Settings Response/Result Code"^50000^-1
34^"44,16"^"WDS/Get Default Settings Response/Profile Name"^50034^-1
34^"44,17"^"WDS/Get Default Settings Response/PDP Type"^50035^-1
34^"44,20"^"WDS/Get Default Settings Response/APN Name"^50022^-1
34^"44,21"^"WDS/Get Default Settings Response/Primary DNS"^50021^-1
34^"44,22"^"WDS/Get Default Settings Response/Secondary DNS"^50021^-1
34^"44,23"^"WDS/Get Default Settings Response/UMTS Requested QoS"^50036^-1
34^"44,24"^"WDS/Get Default Settings Response/UMTS Minimum QoS"^50036^-1
34^"44,25"^"WDS/Get Default Settings Response/GPRS Requested QoS"^50037^-1
34^"44,26"^"WDS/Get Default Settings Response/GPRS Minimum QoS"^50037^-1
34^"44,27"^"WDS/Get Default Settings Response/Username"^50024^-1
34^"44,28"^"WDS/Get Default Settings Response/Password"^50025^-1
34^"44,29"^"WDS/Get Default Settings Response/Authentication"^50023^-1
34^"44,30"^"WDS/Get Default Settings Response/IP Address"^50021^-1
34^"44,31"^"WDS/Get Default Settings Response/P-CSCF"^50099^-1
34^"44,32"^"WDS/Get Default Settings Response/PDP Access Control Flag"^60015^-1
34^"44,33"^"WDS/Get Default Settings Response/P-CSCF Address Using DHCP"^60016^-1
34^"44,34"^"WDS/Get Default Settings Response/IM CN Flag"^60017^-1
34^"44,35"^"WDS/Get Default Settings Response/Traffic Flow Template ID1 Parameters"^60018^-1
34^"44,36"^"WDS/Get Default Settings Response/Traffic Flow Template ID2 Parameters"^60019^-1
34^"44,37"^"WDS/Get Default Settings Response/PDP Context Number"^60020^-1
34^"44,38"^"WDS/Get Default Settings Response/PDP Context Secondary Flag"^60021^-1
34^"44,39"^"WDS/Get Default Settings Response/PDP Context Primary ID"^60022^-1
34^"44,40"^"WDS/Get Default Settings Response/IPv6 Address"^60023^-1
34^"44,41"^"WDS/Get Default Settings Response/Requested QoS"^60024^-1
34^"44,42"^"WDS/Get Default Settings Response/Minimum QoS"^60025^-1
34^"44,43"^"WDS/Get Default Settings Response/Primary DNS IPv6 Address"^60026^-1
34^"44,44"^"WDS/Get Default Settings Response/Secondary DNS IPv6 Address"^60027^-1
34^"44,45"^"WDS/Get Default Settings Response/DHCP NAS Preference"^60028^-1
34^"44,46"^"WDS/Get Default Settings Response/LTE QoS Parameters"^60029^-1
34^"44,144"^"WDS/Get Default Settings Response/Negotiate DSN Server Preferences"^60030^-1
34^"44,145"^"WDS/Get Default Settings Response/PPP Session CLose Timer DO"^60031^-1
34^"44,146"^"WDS/Get Default Settings Response/PPP Session Close Timer 1X"^60032^-1
34^"44,147"^"WDS/Get Default Settings Response/Allow Lingering Interface"^60033^-1
34^"44,148"^"WDS/Get Default Settings Response/LCP ACK Timeout"^60034^-1
34^"44,149"^"WDS/Get Default Settings Response/IPCP ACK Timeout"^60035^-1
34^"44,150"^"WDS/Get Default Settings Response/Authentication Timeout"^60036^-1
34^"44,151"^"WDS/Get Default Settings Response/LCP Config Retry Count"^60037^-1
34^"44,152"^"WDS/Get Default Settings Response/IPCP Config Retry Count"^60038^-1
34^"44,153"^"WDS/Get Default Settings Response/Authentication Retry"^60039^-1
34^"44,154"^"WDS/Get Default Settings Response/Authentication Protocol"^60040^-1
34^"44,155"^"WDS/Get Default Settings Response/User ID"^60041^-1^0^-1^0^0
34^"44,156"^"WDS/Get Default Settings Response/Authentication Password"^60042^-1
34^"44,157"^"WDS/Get Default Settings Response/Data Rate"^60043^-1
34^"44,158"^"WDS/Get Default Settings Response/Application Type"^60044^-1
34^"44,159"^"WDS/Get Default Settings Response/Data Mode"^60045^-1
34^"44,160"^"WDS/Get Default Settings Response/Application Priority"^60046^-1
34^"44,161"^"WDS/Get Default Settings Response/APN String"^60047^-1
34^"44,162"^"WDS/Get Default Settings Response/PDN Type"^60048^-1
34^"44,163"^"WDS/Get Default Settings Response/P-CSCF Address Needed"^60049^-1
34^"44,164"^"WDS/Get Default Settings Response/Primary DNS Address"^60050^-1
34^"44,165"^"WDS/Get Default Settings Response/Secondary DNS Address"^60051^-1
34^"44,166"^"WDS/Get Default Settings Response/Primary IPv6 Address"^60052^-1
34^"44,167"^"WDS/Get Default Settings Response/Secondary IPv6 Address"^60053^-1
34^"44,224"^"WDS/Get Default Settings Response/Extended Error Code"^60054^-1
34^"45,2"^"WDS/Get Current Settings Response/Result Code"^50000^-1
34^"45,16"^"WDS/Get Current Settings Response/Profile Name"^50034^-1
34^"45,17"^"WDS/Get Current Settings Response/PDP Type"^50035^-1
34^"45,20"^"WDS/Get Current Settings Response/APN Name"^50022^-1
34^"45,21"^"WDS/Get Current Settings Response/Primary DNS"^50021^-1
34^"45,22"^"WDS/Get Current Settings Response/Secondary DNS"^50021^-1
34^"45,23"^"WDS/Get Current Settings Response/UMTS Granted QoS"^50036^-1
34^"45,25"^"WDS/Get Current Settings Response/GPRS Granted QoS"^50037^-1
34^"45,27"^"WDS/Get Current Settings Response/Username"^50024^-1
34^"45,29"^"WDS/Get Current Settings Response/Authentication"^50023^-1
34^"45,30"^"WDS/Get Current Settings Response/IP Address"^50021^-1
34^"45,31"^"WDS/Get Current Settings Response/Profile ID"^50038^-1
34^"45,32"^"WDS/Get Current Settings Response/Gateway Address"^50021^-1
34^"45,33"^"WDS/Get Current Settings Response/Gateway Subnet Mask"^50085^-1
34^"45,34"^"WDS/Get Current Settings Response/P-CSCF"^50099^-1
34^"45,35"^"WDS/Get Current Settings Response/P-CSCF Server Address List"^60000^-1
34^"45,36"^"WDS/Get Current Settings Response/P-CSCF Domain Name List"^60001^-1
34^"45,37"^"WDS/Get Current Settings Response/IPv6 Address"^60010^-1
34^"45,38"^"WDS/Get Current Settings Response/IPv6 Gateway Address"^60011^-1
34^"45,39"^"WDS/Get Current Settings Response/Primary IPv6 DNS"^60003^-1
34^"45,40"^"WDS/Get Current Settings Response/Secondary IPv6 DNS"^60003^-1
34^"45,41"^"WDS/Get Current Settings Response/MTU"^60004^-1
34^"45,42"^"WDS/Get Current Settings Response/Domain Name List"^60005^-1
34^"45,43"^"WDS/Get Current Settings Response/IP Family"^50097^-1
34^"45,44"^"WDS/Get Current Settings Response/IM CN Flag"^60007^-1
34^"45,45"^"WDS/Get Current Settings Response/Extended Technology"^50095^-1
34^"45,46"^"WDS/Get Current Settings Response/P-CSCF IPv6 Address List"^60057^-1
34^"46,2"^"WDS/Set MIP Mode Response/Result Code"^50000^-1
34^"47,1"^"WDS/Get MIP Mode Response/Mobile IP Mode"^50044^-1
34^"47,2"^"WDS/Get MIP Mode Response/Result Code"^50000^-1
34^"48,1"^"WDS/Get Dormancy Response/Dormancy Status"^50042^-1
34^"48,2"^"WDS/Get Dormancy Response/Result Code"^50000^-1
34^"52,1"^"WDS/Get Autoconnect Setting Response/Autoconnect"^50045^-1
34^"52,2"^"WDS/Get Autoconnect Setting Response/Result Code"^50000^-1
34^"52,16"^"WDS/Get Autoconnect Setting Response/Roam"^60008^-1
34^"53,1"^"WDS/Get Data Session Duration Response/Duration"^50047^-1
34^"53,2"^"WDS/Get Data Session Duration Response/Result Code"^50000^-1
34^"53,16"^"WDS/Get Data Session Duration Response/Previous Duration"^50081^-1
34^"53,17"^"WDS/Get Data Session Duration Response/Active Duration"^50082^-1
34^"53,18"^"WDS/Get Data Session Duration Response/Previous Active Duration"^50083^-1
34^"54,1"^"WDS/Get Modem Status Response/Status"^50048^-1
34^"54,2"^"WDS/Get Modem Status Response/Result Code"^50000^-1
34^"54,16"^"WDS/Get Modem Status Response/Call End Reason"^50049^-1
34^"55,1"^"WDS/Get Data Bearer Technology Response/Technology"^50020^-1
34^"55,2"^"WDS/Get Data Bearer Technology Response/Result Code"^50000^-1
34^"55,16"^"WDS/Get Data Bearer Technology Response/Last Call Technology"^50020^-1
34^"56,2"^"WDS/Get Modem Info Response/Result Code"^50000^-1
34^"56,16"^"WDS/Get Modem Info Response/Status"^50048^-1
34^"56,17"^"WDS/Get Modem Info Response/Call End Reason"^50049^-1
34^"56,18"^"WDS/Get Modem Info Response/TX Bytes"^50054^-1
34^"56,19"^"WDS/Get Modem Info Response/RX Bytes"^50055^-1
34^"56,20"^"WDS/Get Modem Info Response/Dormancy Status"^50042^-1
34^"56,21"^"WDS/Get Modem Info Response/Technology"^50020^-1
34^"56,22"^"WDS/Get Modem Info Response/Rates"^50031^-1
34^"56,23"^"WDS/Get Modem Info Response/Previous TX Bytes"^50079^-1
34^"56,24"^"WDS/Get Modem Info Response/Previous RX Bytes"^50080^-1
34^"56,25"^"WDS/Get Modem Info Duration Response/Active Duration"^50082^-1
34^"60,1"^"WDS/Get Active MIP Profile Response/Index"^50027^-1
34^"60,2"^"WDS/Get Active MIP Profile Response/Result Code"^50000^-1
34^"61,2"^"WDS/Set Active MIP Profile Response/Result Code"^50000^-1
34^"62,2"^"WDS/Get MIP Profile Response/Result Code"^50000^-1
34^"62,16"^"WDS/Get MIP Profile Response/State"^50057^-1
34^"62,17"^"WDS/Get MIP Profile Response/Home Address"^50021^-1
34^"62,18"^"WDS/Get MIP Profile Response/Primary Home Agent Address"^50021^-1
34^"62,19"^"WDS/Get MIP Profile Response/Secondary Home Agent Address"^50021^-1
34^"62,20"^"WDS/Get MIP Profile Response/Reverse Tunneling"^50058^-1
34^"62,21"^"WDS/Get MIP Profile Response/NAI"^50059^-1
34^"62,22"^"WDS/Get MIP Profile Response/HA SPI"^50060^-1
34^"62,23"^"WDS/Get MIP Profile Response/AAA SPI"^50061^-1
34^"62,26"^"WDS/Get MIP Profile Response/HA State"^50086^-1
34^"62,27"^"WDS/Get MIP Profile Response/AAA State"^50086^-1
34^"63,2"^"WDS/Set MIP Profile Response/Result Code"^50000^-1
34^"64,2"^"WDS/Get MIP Parameters Response/Result Code"^50000^-1
34^"64,16"^"WDS/Get MIP Parameters Response/Mobile IP Mode"^50044^-1
34^"64,17"^"WDS/Get MIP Parameters Response/Retry Attempt Limit"^50064^-1
34^"64,18"^"WDS/Get MIP Parameters Response/Retry Attempt Interval"^50065^-1
34^"64,19"^"WDS/Get MIP Parameters Response/Re-Registration Period"^50066^-1
34^"64,20"^"WDS/Get MIP Parameters Response/Re-Registration Only With Traffic"^50067^-1
34^"64,21"^"WDS/Get MIP Parameters Response/MN-HA Authenticator Calculator"^50068^-1
34^"64,22"^"WDS/Get MIP Parameters Response/MN-HA RFC 2002 BIS Authentication"^50069^-1
34^"65,2"^"WDS/Set MIP Parameters Response/Result Code"^50000^-1
34^"66,1"^"WDS/Get Last MIP Status Response/Status"^50071^-1
34^"66,2"^"WDS/Get Last MIP Status Response/Result Code"^50000^-1
34^"67,1"^"WDS/Get AN-AAA Authentication Status Response/Status"^50072^-1
34^"67,2"^"WDS/Get AN-AAA Authentication Status Response/Result Code"^50000^-1
34^"68,1"^"WDS/Get Current Data Bearer Technology Response/Technology"^50090^-1
34^"68,2"^"WDS/Get Current Data Bearer Technology Response/Result Code"^50000^-1
34^"69,2"^"WDS/Get Call List Response/Result Code"^50000^-1
34^"69,16"^"WDS/Get Call List Response/Full List"^50074^-1
34^"69,17"^"WDS/Get Call List Response/ID List"^50076^-1
34^"70,1"^"WDS/Get Call Record Response/Record"^50075^-1
34^"70,2"^"WDS/Get Call Record Response/Result Code"^50000^-1
34^"71,2"^"WDS/Clear Call List Response/Result Code"^50000^-1
34^"72,1"^"WDS/Get Call List Max Size Response/Maximum"^50078^-1
34^"72,2"^"WDS/Get Call List Max Size Response/Result Code"^50000^-1
34^"81,2"^"WDS/Set Autoconnect Setting Response/Result Code"^50000^-1
34^"82,2"^"WDS/Get DNS Setting Response/Result Code"^50000^-1
34^"82,16"^"WDS/Get DNS Setting Response/Primary"^60009^-1
34^"82,17"^"WDS/Get DNS Setting Response/Secondary"^60009^-1
34^"82,18"^"WDS/Get DNS Setting Response/Primary IPv6"^60055^-1
34^"82,19"^"WDS/Get DNS Setting Response/Secondary IPv6"^60056^-1
34^"83,2"^"WDS/Set DNS Setting Response/Result Code"^50000^-1
35^"1,16"^"WDS/Event Report/TX Packet Successes"^50013^-1
